other,arm,boot_mean,ci_lo,ci_hi,n_boot,window
BMI,DBS,0.01303868778860258,-0.027707261067095257,0.1227385426228276,500,baseline
LEDD,DBS,0.05663787071947384,0,0.24792861226285087,500,baseline
NP1ANXS,DBS,0.059987220312251364,0,0.2270585572636335,500,baseline
NP1DPRS,DBS,0.004096132628336887,-0.04759545966131192,0.06996316128283574,500,baseline
NP1FATG,DBS,0.33854981339068213,0.11941382849148133,0.5756012235837382,500,baseline
NP1SLPD,DBS,0.051309398724856174,0,0.20816041123786505,500,baseline
NP1SLPN,DBS,0.144604048426861,0,0.3131380537164342,500,baseline
NP1URIN,DBS,0.07016423321568285,0,0.2248927985139696,500,baseline
ess,DBS,0.046391110618865715,0,0.19006294971651388,500,baseline
gds,DBS,0.02310891036776558,0,0.15443709547285947,500,baseline
rem,DBS,-5.451266793153685e-4,-0.08908966842686866,0.0702208304369934,500,baseline
scopa,DBS,0.08256010517176011,0,0.24540316158276915,500,baseline
stai,DBS,0.013016168166062188,0,0.10635758146911384,500,baseline
updrs3_score,DBS,0.02124916297064644,-0.050245543173379995,0.1479647017700785,500,baseline
BMI,Never-DBS,0.0018524171984224578,-0,0.03157494511262439,500,baseline
LEDD,Never-DBS,0.018150806311399415,0,0.0669570443266079,500,baseline
NP1ANXS,Never-DBS,0.010063302816575175,0,0.053627822615309614,500,baseline
NP1DPRS,Never-DBS,0.001864368871811638,-0.01769150507885079,0.02900318995728126,500,baseline
NP1FATG,Never-DBS,0.20033866341021514,0.13660317032779565,0.2647305232050772,500,baseline
NP1SLPD,Never-DBS,0.014003014998422464,0,0.06911571777421738,500,baseline
NP1SLPN,Never-DBS,0.19359046614923717,0.13293778571499332,0.2509775278158084,500,baseline
NP1URIN,Never-DBS,0.01671673548337057,0,0.0707197924768922,500,baseline
ess,Never-DBS,-0.013091977224261982,-0.06589492526456511,0,500,baseline
gds,Never-DBS,0.018767241368914535,0,0.06004144325379248,500,baseline
rem,Never-DBS,0.050668956552989475,0,0.10992613968841639,500,baseline
scopa,Never-DBS,0.07076062651530984,0.007088211464150437,0.12639869644319798,500,baseline
stai,Never-DBS,0.0014826482743566882,0,0.02233849237121282,500,baseline
updrs3_score,Never-DBS,0.01898972437155693,0,0.07421386279396906,500,baseline
BMI,DBS,-0.025243702338895585,-0.1934549396011308,0.03107292484321841,500,early_post
LEDD,DBS,0.10894850023844121,0,0.33833820833180456,500,early_post
NP1ANXS,DBS,0.003696577535252116,-0.06594709650797692,0.08790867827008819,500,early_post
NP1DPRS,DBS,-0.04071097425179648,-0.222907538323801,0,500,early_post
NP1FATG,DBS,0.01537116370848749,-0.10082146676019935,0.17113555677717818,500,early_post
NP1SLPD,DBS,0.03343256193980144,0,0.19693359487218337,500,early_post
NP1SLPN,DBS,0.02266313660213695,-0.008058621625515941,0.16068855039987412,500,early_post
NP1URIN,DBS,0.3531975759817096,0.08287488830533064,0.5880610762844171,500,early_post
ess,DBS,0.08716485998106288,0,0.27556146120626274,500,early_post
gds,DBS,0.010883664911137618,0,0.12985125927693045,500,early_post
rem,DBS,-0.010473075473106306,-0.19442746866522098,0.131089635496836,500,early_post
scopa,DBS,0.10814920132314858,0,0.3511875330130263,500,early_post
stai,DBS,0.0989871273393316,0,0.2879760739063212,500,early_post
updrs3_score,DBS,0.023580422075509675,-0.06511817945876586,0.18789215798027536,500,early_post
BMI,Never-DBS,0.06069834336496049,0,0.18952112623611106,500,early_post
LEDD,Never-DBS,0.022517460964122216,0,0.08687086370349464,500,early_post
NP1ANXS,Never-DBS,-0.003433982523289657,-0.0531471593714679,0,500,early_post
NP1DPRS,Never-DBS,0.06936789568309418,0,0.17290099249508034,500,early_post
NP1FATG,Never-DBS,0.20654606890594385,0.1170460519839798,0.2974984224549535,500,early_post
NP1SLPD,Never-DBS,-0.0036246405759208064,-0.04674831877492258,0.008772638881828117,500,early_post
NP1SLPN,Never-DBS,0.17201823438990993,0.08388613634429115,0.25559182641854167,500,early_post
NP1URIN,Never-DBS,0.045593628092477925,0,0.12658260663621856,500,early_post
ess,Never-DBS,0.0021445056711352634,-0.02090125792996428,0.03850502217424877,500,early_post
gds,Never-DBS,0.03180615441706312,0,0.11135267976160265,500,early_post
rem,Never-DBS,0.017501003174371692,0,0.08412831395303448,500,early_post
scopa,Never-DBS,0.0439807878379663,0,0.11249899559747524,500,early_post
stai,Never-DBS,0.03528376439296526,0,0.10597197605927648,500,early_post
updrs3_score,Never-DBS,0.006654614867029554,0,0.05739838915730473,500,early_post
BMI,DBS,-5.782194202230402e-4,-0.25327031970759867,0.17062770208659317,500,late_post
LEDD,DBS,0.03577146368974309,-0.13001153279850206,0.30502277177461995,500,late_post
NP1ANXS,DBS,0.017202611702351787,-0.1028798382275547,0.2861772194527724,500,late_post
NP1DPRS,DBS,-0.01734262955233513,-0.2732792026300974,0.15552554102574695,500,late_post
NP1FATG,DBS,0.19120543531719272,0,0.45340017296854174,500,late_post
NP1SLPD,DBS,-0.019207639459891294,-0.23753277189991212,0.09472867095872653,500,late_post
NP1SLPN,DBS,0.1614780615958469,0,0.4130762520861603,500,late_post
NP1URIN,DBS,0.0020004142153465247,-0.33635910092408394,0.27497454136718674,500,late_post
ess,DBS,-0.008215995959405094,-0.1829564618276322,0.08941707498574389,500,late_post
gds,DBS,-0.002388174486949774,-0.1923159687411582,0.158986881792593,500,late_post
rem,DBS,0.011935740690824146,-0.20042024994900964,0.2220996542322458,500,late_post
scopa,DBS,0.06827847810383061,-0.014619141629396336,0.33261214474191236,500,late_post
stai,DBS,-0.03308326480983783,-0.29682908108108086,0.04426493646469638,500,late_post
updrs3_score,DBS,0.04685828051254213,-0.06284476534224567,0.2597829318975425,500,late_post
BMI,Never-DBS,0.08057944440221902,0,0.19164826108738564,500,late_post
LEDD,Never-DBS,0.047303458727020443,-0.008118962042372595,0.1588322509839556,500,late_post
NP1ANXS,Never-DBS,-0.00236319195474091,-0.06078693536363432,0.02693684965274301,500,late_post
NP1DPRS,Never-DBS,0.011564955212735343,-0.021256540216062405,0.055132741803577155,500,late_post
NP1FATG,Never-DBS,0.22957087726691133,0.10558227332591448,0.3613625178346712,500,late_post
NP1SLPD,Never-DBS,-0.008935581267856327,-0.12289825352684704,0.08261395929384127,500,late_post
NP1SLPN,Never-DBS,0.11697955087349206,0.017871494992084527,0.22592987117759428,500,late_post
NP1URIN,Never-DBS,0.1197407045329594,0.004660193833703618,0.2318237013715329,500,late_post
ess,Never-DBS,-0.056738332201140676,-0.1724469963771461,0,500,late_post
gds,Never-DBS,-0.0025161876206134678,-0.10315581969714455,0.07903077275279391,500,late_post
rem,Never-DBS,0.010354101093697792,-0.07820274660378185,0.09791300278780948,500,late_post
scopa,Never-DBS,0.11075773607431516,0.0030799019034466082,0.2167700165833466,500,late_post
stai,Never-DBS,-0.0025303139828121955,-0.07826057568863475,0.06160123180188295,500,late_post
updrs3_score,Never-DBS,0.10467021006373417,0,0.20784949191647134,500,late_post
